condition,autonomy_rate,accuracy_when_autonomous,unsafe_actuation_rate,n_autonomous,n_total,held_out_build
1. Full pipeline (Gate2 + Gate3),0.1639871382636656,0.9215686274509803,0.058823529411764705,51,311,B6
2. No Gate 2 (confidence removed),0.5241157556270096,0.6625766871165644,0.07975460122699386,163,311,B6
3. No Gate 3 (physics removed),0.31511254019292606,0.8367346938775511,0.14285714285714285,98,311,B6
"4. No gating (raw predictions, baseline)",1.0,0.6012861736334405,0.14469453376205788,311,311,B6
1. Full pipeline (Gate2 + Gate3),0.1189710610932476,1.0,0.0,37,311,B7
2. No Gate 2 (confidence removed),0.3890675241157556,0.8099173553719008,0.024793388429752067,121,311,B7
3. No Gate 3 (physics removed),0.15434083601286175,0.9583333333333334,0.041666666666666664,48,311,B7
"4. No gating (raw predictions, baseline)",1.0,0.7266881028938906,0.15755627009646303,311,311,B7
1. Full pipeline (Gate2 + Gate3),0.14469453376205788,0.9777777777777777,0.0,45,311,B8
2. No Gate 2 (confidence removed),0.4630225080385852,0.6111111111111112,0.1527777777777778,144,311,B8
3. No Gate 3 (physics removed),0.14469453376205788,0.9777777777777777,0.0,45,311,B8
"4. No gating (raw predictions, baseline)",1.0,0.6366559485530546,0.1607717041800643,311,311,B8
