model,accuracy_mean,macro_f1_mean,mace_mean
Random Forest,0.7759914255091104,0.773042940766454,0.2604501607717042
XGBoost,0.742765273311897,0.7388067935224713,0.2915326902465166
k-Nearest Neighbors,0.7202572347266881,0.7195336499758994,0.3204715969989282
Multinomial Logistic Regression,0.6763129689174705,0.6628609300466187,0.34941050375133975
Decision Tree,0.692390139335477,0.6854818032976034,0.35691318327974275
"Ordinal Logistic (ours, alpha=0.01)",0.6602357984994641,0.6395146715425222,0.3687031082529475
SVM (RBF),0.5573419078242229,0.5195134152122044,0.6045016077170418
SPC Control Chart (manufacturing baseline),0.3665594855305467,0.3451310216003036,0.8081457663451234
Gaussian Naive Bayes,0.5026795284030011,0.4532435072300343,0.9303322615219721
Physics-Only VED Rule (manufacturing baseline),0.25401929260450157,0.226855196864583,1.2958199356913183
