held_out,state,inadmissible_rate,n
B6,Stable,0.029850746268656716,67
B6,Degrading,0.26666666666666666,45
B6,Recoverable,0.625,72
B6,Critical,0.6875,48
B6,Irrecoverable,0.7088607594936709,79
B7,Stable,0.06896551724137931,58
B7,Degrading,0.38461538461538464,78
B7,Recoverable,0.6923076923076923,52
B7,Critical,1.0,64
B7,Irrecoverable,0.9491525423728814,59
B8,Stable,0.03225806451612903,62
B8,Degrading,0.3492063492063492,63
B8,Recoverable,0.6984126984126984,63
B8,Critical,0.918918918918919,74
B8,Irrecoverable,0.6326530612244898,49
