seed,autonomy_rate,accuracy_when_autonomous,unsafe_action_rate,n_autonomous
0,0.11361200428724544,1.0,0.0,106
1,0.12540192926045016,0.9829059829059829,0.017094017094017096,117
2,0.12861736334405144,0.9916666666666667,0.0,120
3,0.12968917470525188,0.9834710743801653,0.0,121
4,0.1307609860664523,0.9836065573770492,0.0,122
5,0.11361200428724544,1.0,0.0,106
6,0.1189710610932476,1.0,0.0,111
7,0.12218649517684887,1.0,0.0,114
8,0.13933547695605572,0.9923076923076923,0.0,130
9,0.1264737406216506,0.9915254237288136,0.0,118
10,0.12968917470525188,0.9752066115702479,0.0,121
11,0.14790996784565916,0.9927536231884058,0.0,138
12,0.1157556270096463,1.0,0.0,108
13,0.11789924973204716,1.0,0.0,110
14,0.1307609860664523,0.9918032786885246,0.0,122
15,0.12754555198285103,1.0,0.0,119
16,0.12968917470525188,0.9917355371900827,0.008264462809917356,121
17,0.13612004287245444,0.968503937007874,0.007874015748031496,127
18,0.12861736334405144,0.9916666666666667,0.0,120
19,0.1157556270096463,1.0,0.0,108
20,0.12540192926045016,1.0,0.0,117
21,0.14362272240085744,0.9776119402985075,0.0,134
22,0.13290460878885316,0.9838709677419355,0.0,124
23,0.1189710610932476,1.0,0.0,111
24,0.11789924973204716,1.0,0.0,110
25,0.12433011789924973,1.0,0.0,116
26,0.13612004287245444,0.9921259842519685,0.0,127
27,0.11789924973204716,0.990909090909091,0.0,110
28,0.1307609860664523,0.9836065573770492,0.0,122
29,0.12861736334405144,0.9916666666666667,0.0,120
