held_out,feature,mean_abs_shap
B6,tam_mean,0.043967464494761285
B6,tam_max,0.014847343078138085
B6,tam_p90,0.10933334788067861
B6,scr_mean,0.05617186976729133
B6,scr_std,0.06641881337261078
B6,scr_min,0.016699578514955623
B6,scr_max,0.0
B6,scan_speed,0.0
B6,hatch_spacing,0.0
B7,tam_mean,0.044331223713073735
B7,tam_max,0.01522610904244271
B7,tam_p90,0.10290599044116153
B7,scr_mean,0.04981200251499098
B7,scr_std,0.0764105149890767
B7,scr_min,0.020155329037856946
B7,scr_max,0.006146522284766315
B7,scan_speed,0.0
B7,hatch_spacing,0.0
B8,tam_mean,0.041609836082911626
B8,tam_max,0.018090509075486056
B8,tam_p90,0.10497252509819124
B8,scr_mean,0.049768955296357345
B8,scr_std,0.0794802130116724
B8,scr_min,0.016633144063586403
B8,scr_max,0.004499957305065343
B8,scan_speed,0.0
B8,hatch_spacing,0.0
