layer,porosity_3d,specimen_voxels,pore_voxels
0,5.408875271985293e-05,4622033,250
1,5.935389929988725e-05,4178327,248
2,2.1879204909693583e-06,4113495,9
3,2.418089631812e-07,4135496,1
4,4.875583637833846e-07,4102073,2
5,3.2171202270000033e-06,4040881,13
6,7.387581328035945e-07,4060869,3
7,7.316436105441551e-07,4100357,3
8,4.978228144182115e-05,4117931,205
9,2.9323155591840243e-06,4092329,12
10,1.18990868194559e-05,4033923,48
11,0.00016162930331774746,4002987,647
12,5.263163434908879e-06,3799996,20
13,1.8119530321917037e-05,4028802,73
14,1.971121104695112e-06,4058604,8
15,0.00014736331493404186,4024068,593
16,7.3415955818784105e-06,3950095,29
17,1.0037379200141327e-06,3985104,4
18,1.2027347180652008e-05,3990905,48
19,2.4916887080443037e-05,3973209,99
20,0.0,3936314,0
21,1.514202844127202e-06,3962481,6
22,0.0,3523912,0
23,0.0,1397889,0
24,0.0,17538,0
