predictor,target,spearman_rho,p_value,n
local_tam_p90,pore_count,,,21
local_tam_mean,pore_count,,,21
local_scr_mean,pore_count,,,21
local_scr_std_spatial,pore_count,,,21
local_tam_p90,diameter_p90_um,,,21
local_tam_mean,diameter_p90_um,,,21
local_scr_mean,diameter_p90_um,,,21
local_scr_std_spatial,diameter_p90_um,,,21
local_tam_p90,max_diameter_um,,,21
local_tam_mean,max_diameter_um,,,21
local_scr_mean,max_diameter_um,,,21
local_scr_std_spatial,max_diameter_um,,,21
local_tam_p90,total_pore_volume_um3,,,21
local_tam_mean,total_pore_volume_um3,,,21
local_scr_mean,total_pore_volume_um3,,,21
local_scr_std_spatial,total_pore_volume_um3,,,21
local_tam_p90,volume_fraction,,,21
local_tam_mean,volume_fraction,,,21
local_scr_mean,volume_fraction,,,21
local_scr_std_spatial,volume_fraction,,,21
