predictor,target,spearman_rho,p_value,n
local_tam_p90,pore_count,0.20705779060017115,0.367816166604473,21
local_tam_mean,pore_count,0.23057224000586882,0.31463286367208254,21
local_scr_mean,pore_count,-0.09275143932247414,0.6892465127227827,21
local_scr_std_spatial,pore_count,-0.08883236442152452,0.701784524874973,21
local_tam_p90,diameter_p90_um,0.061889579145366594,0.7898523846720831,21
local_tam_mean,diameter_p90_um,0.02149848538733787,0.9263039086572769,21
local_scr_mean,diameter_p90_um,0.0351793397247347,0.8796706710672765,21
local_scr_std_spatial,diameter_p90_um,0.12182475052824793,0.5988515656948419,21
local_tam_p90,max_diameter_um,0.058018696737715446,0.8027383715530254,21
local_tam_mean,max_diameter_um,0.013037909379261898,0.95526948391974,21
local_scr_mean,max_diameter_um,0.05867059220667854,0.8005646933280698,21
local_scr_std_spatial,max_diameter_um,0.130379093792619,0.5732302429802927,21
local_tam_p90,total_pore_volume_um3,0.1721897699428859,0.45545170107616406,21
local_tam_mean,total_pore_volume_um3,0.13190386150341823,0.5687140844192679,21
local_scr_mean,total_pore_volume_um3,-0.008447045317952892,0.9710117418383173,21
local_scr_std_spatial,total_pore_volume_um3,0.040285908439467645,0.8623539012899593,21
local_tam_p90,volume_fraction,0.16103896103896104,0.48557914428522886,21
local_tam_mean,volume_fraction,0.1064935064935065,0.6459166351388024,21
local_scr_mean,volume_fraction,0.011688311688311687,0.9598958988557218,21
local_scr_std_spatial,volume_fraction,0.06103896103896104,0.7926796536257745,21
