layer,local_tam_p90,local_tam_mean,local_scr_mean,local_scr_std_spatial
0,0.00029868780984543264,0.0002537042018957436,1505320.75,668935.1875
1,,,,
2,0.00013490914716385305,5.665421485900879e-05,9373551.0,3264945.0
3,,,,
4,,,,
5,,,,
6,5.331634383765049e-05,3.5860142816090956e-05,9308430.0,4377463.0
7,,,,
8,4.753470420837402e-06,3.7103891372680664e-06,10893927.0,146172.03125
9,,,,
10,4.726648512587417e-06,3.0100345611572266e-06,10863723.0,153883.40625
11,,,,
12,,,,
13,,,,
14,0.0001288354251300916,4.103084575035609e-05,8147291.5,4173559.5
15,,,,
16,,,,
17,,,,
18,5.9232115745544434e-05,4.0531158447265625e-05,11708268.0,333683.28125
19,,,,
20,,,,
21,,,,
22,7.566213753307238e-05,5.005548518965952e-05,4159129.75,2465628.75
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,8.1300731835654e-06,5.057454018242424e-06,11013649.0,180032.3125
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,8.52346420288086e-06,8.52346420288086e-06,11214264.0,0.0
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,3.6090612411499023e-05,2.1502375602722168e-05,11756309.0,801896.3125
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,2.7954578399658203e-05,2.7954578399658203e-05,12242395.0,0.0
99,,,,
100,,,,
101,,,,
102,,,,
103,,,,
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,,,,
111,,,,
112,,,,
113,,,,
114,,,,
115,,,,
116,,,,
117,,,,
118,,,,
119,,,,
120,,,,
121,,,,
122,,,,
123,,,,
124,,,,
125,,,,
126,3.9219858081196435e-06,3.7352244817157043e-06,10688321.0,137131.078125
127,,,,
128,,,,
129,,,,
130,0.00015617013559676707,0.00012662261724472046,12258073.0,639188.0625
131,,,,
132,,,,
133,,,,
134,,,,
135,,,,
136,,,,
137,,,,
138,,,,
139,,,,
140,,,,
141,,,,
142,2.872943878173828e-05,1.7255544662475586e-05,4452951.5,4861253.0
143,,,,
144,,,,
145,,,,
146,,,,
147,,,,
148,,,,
149,,,,
150,,,,
151,,,,
152,,,,
153,,,,
154,,,,
155,,,,
156,,,,
157,,,,
158,8.940696716308594e-06,8.940696716308594e-06,11025616.0,210366.5
159,,,,
160,,,,
161,,,,
162,,,,
163,,,,
164,,,,
165,,,,
166,,,,
167,,,,
168,0.00012931227684020996,7.810443639755249e-05,9953922.0,2803924.5
169,,,,
170,,,,
171,,,,
172,,,,
173,,,,
174,,,,
175,,,,
176,,,,
177,,,,
178,,,,
179,,,,
180,,,,
181,,,,
182,,,,
183,,,,
184,,,,
185,,,,
186,,,,
187,,,,
188,,,,
189,,,,
190,,,,
191,,,,
192,,,,
193,,,,
194,,,,
195,,,,
196,,,,
197,,,,
198,,,,
199,,,,
200,,,,
201,,,,
202,0.00013881921768188477,0.00010337050480302423,7734626.5,4356695.5
203,,,,
204,,,,
205,,,,
206,,,,
207,,,,
208,3.0231476557673886e-05,2.2013982743374072e-05,11414448.0,790640.3125
209,,,,
210,1.1479854038043413e-05,6.2151389101927634e-06,11015066.0,232671.171875
211,,,,
212,1.9252300262451172e-05,1.394180981151294e-05,11419830.0,277273.3125
213,,,,
214,,,,
215,,,,
216,5.960464477539063e-08,5.960464477539063e-08,10672846.0,100679.875
217,,,,
218,,,,
219,,,,
220,,,,
221,,,,
222,2.0265579223632812e-05,1.5046861335576978e-05,11546782.0,280984.125
223,,,,
224,,,,
225,,,,
226,,,,
227,,,,
