layer,local_tam_p90,local_tam_mean,local_scr_mean,local_scr_std_spatial,n_valid_pixels
0,0.0021876811515539885,0.0012943651527166367,770166.4375,1742791.375,3363
1,0.001731434604153037,0.0008232223335653543,1560401.375,3165128.75,4878
2,0.0019499302143231034,0.0012597537133842707,390207.90625,611072.75,3045
3,0.0016534298192709684,0.0008581246947869658,1481916.25,2899435.0,4174
4,0.0017108212923631072,0.0009923225734382868,768152.4375,1589810.875,2894
5,0.0015094100963324308,0.0008859711233526468,1463418.5,3071226.0,3069
6,0.0019084155792370439,0.0010993583127856255,855212.1875,2026740.5,2807
7,0.0016515552997589111,0.001062308088876307,497575.1875,1468594.25,2736
8,0.0018064744072034955,0.0010166008723899722,1102891.75,2603283.25,2755
9,0.0014895785134285688,0.0008455999195575714,1460656.75,3174578.25,3072
10,0.0018071681261062622,0.001076434040442109,617034.5,1415702.125,2496
11,0.0015989751555025578,0.0008962241699919105,1189585.625,2666460.5,3068
12,0.0017526868032291532,0.0009774334030225873,918428.75,1975974.875,2754
13,0.0014845776604488492,0.0008873780025169253,1008330.4375,2539902.75,2750
14,0.001789294183254242,0.0010815946152433753,620904.4375,1458377.375,2542
15,0.001594120287336409,0.0009269792353734374,798489.9375,2032383.875,2838
16,0.0017810650169849396,0.0009537686710245907,943072.0,1902815.125,2653
17,0.00142375857103616,0.0008037322550080717,1291060.125,2748034.25,2852
18,0.0018795698415488005,0.0011158890556544065,753399.25,1841296.625,2515
19,0.0015193819999694824,0.0009265980334021151,600899.0,1609944.5,2596
20,0.0018155537545681,0.0010065067326650023,945821.5,2074271.25,2531
21,0.0014482543338090181,0.0008467427687719464,983602.4375,2281913.75,2753
22,0.0019515305757522583,0.001129652257077396,720994.25,1496339.75,2511
23,0.0015912828966975212,0.0009260979713872075,1067541.25,2575899.5,2752
24,0.0017826518742367625,0.0010403934866189957,872047.0,1977916.25,2390
25,0.001379749970510602,0.0007815902936272323,1648892.875,3387022.25,2773
26,0.0019279536791145802,0.0011458088411018252,726837.875,1624391.875,2455
27,0.001611471176147461,0.0008708600653335452,1070979.125,2408985.0,2961
28,0.001748034730553627,0.0009886880870908499,1108281.375,2514027.75,2486
29,0.0014083994319662452,0.0008256041910499334,1498463.375,3180756.25,2679
30,0.0022260218393057585,0.001287661143578589,816475.625,2086558.625,2453
31,0.0016144424444064498,0.0009698942885734141,860485.25,2127587.75,2724
32,0.0017722910270094872,0.0009675289620645344,1241275.625,2759956.5,2495
33,0.001276712049730122,0.0007435365114361048,1518117.375,3172483.75,2807
34,0.002038040664047003,0.0011796819744631648,1083915.75,2486553.75,2464
