layer,mean_porosity,max_porosity,n_slices,severity,risk_score,tam_p90,tam_mean,scr_std
1,8.082473913816975e-05,0.0002076933480167,20,4,0.942320271420201,0.0018728880677372,0.0010025138035416,3035585.0
2,0.0002667964475557475,0.0006815897222154,20,4,1.0976107398657209,0.0019723176956176,0.0012410405324772,2213334.25
3,0.00013453797553925748,0.0006379662997954,20,3,0.329763085412489,0.0016540884971618,0.0009323479607701,3598927.25
4,0.00012322026996078843,0.0007350578797231,20,4,0.8240794240598975,0.0018046498298645,0.0011561152059584,2610121.25
5,1.7096201752111457e-05,8.96758219038177e-05,20,2,-0.1582347684590053,0.0015481202863156,0.0009855554671958,2789045.0
6,7.046825901959813e-05,0.0001850545911043,20,3,0.4339575812257055,0.0017527220770716,0.0011426752898842,2348898.75
7,0.00013449296290189122,0.0003638688105423,20,2,0.0296085861045774,0.001571238040924,0.0010097288759425,2710745.5
8,3.950486682985268e-05,0.0002111040743086,20,4,0.7411158824799964,0.0018839626573026,0.0012230332940816,2408016.75
9,0.00017974478615116274,0.0004257401517005,20,2,-0.215311852779085,0.0014988211914896,0.0009808340109884,2477796.5
10,1.5690629635838937e-05,7.984031936127745e-05,20,3,0.4370772759252286,0.0017696050927042,0.001166408881545,2161130.25
11,0.00021205000930169627,0.0006447323353414,20,1,-0.3199060133883287,0.0015245790127664,0.0009966947836801,2563643.0
12,0.0002846339228008053,0.0007975850336702,20,4,0.9926407758595064,0.0019077792530879,0.0012698838254436,2246617.75
13,4.275022675344495e-05,0.0001750884196519,19,1,-0.3948401408117589,0.001501977443695,0.0009828797774389,2366744.25
14,0.0002602882440711936,0.0007632826141182,20,3,0.4545643006683736,0.0017575025558471,0.0011359165655449,2431307.25
15,0.00025951530286574614,0.0007018906245333,20,2,-0.0362115405449422,0.0015464425086975,0.0010017494205385,2660713.5
16,0.00024292806130545675,0.000555294735301,20,4,0.6628839889711932,0.0018649697303771,0.0012207059189677,2323963.5
17,7.903706841325026e-06,2.039879647100821e-05,20,1,-0.4872238330097613,0.0014377832412719,0.0009632495348341,2075993.75
18,9.142672021645631e-05,0.0002628027917742,20,3,0.4232781476271965,0.0017372563015669,0.0011245155474171,2391700.75
19,0.0002131590021375186,0.0008231699618715,20,1,-0.4192310046230409,0.0015268921852111,0.0009995908476412,2393437.5
20,0.00020339608971294012,0.0005149855702063,20,4,0.8899765685508283,0.0018725998234003,0.0012485877377912,2187417.25
21,4.028610784579557e-05,0.0002980978274835,20,1,-0.5129002629812801,0.0014566360041499,0.0009604862425476,2118516.0
22,1.626708689506584e-05,6.595435958316844e-05,20,3,0.5878773847160843,0.0018052756786346,0.0011505136499181,2415574.75
23,3.925215069970548e-05,0.0003031594903131,20,2,-0.1497809125540767,0.001537500298582,0.0010032871505245,2327032.25
24,2.125512938008537e-05,9.828975820719482e-05,14,4,0.7864732192910613,0.001882143667899,0.0012492995010688,2375568.75
